"id","age","sex","marital","pd1","pd2","pd3","pd4","pd5","pd6","pd7","pd8","pd9","pd10","pd11","pd12","pd13","pd14","pd15","pd16","pd17","pd18","pd19","pd20","life.dis","daily.dis"
10001,69,1,3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3,4,3,4,4,0,11
10002,78,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10011,61,2,3,2,0,0,0,0,0,0,0,0,0,NA,3,3,4,3,3,3,3,4,4,1,15
10015,63,2,1,0,0,1,1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,2,9
10019,60,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,2,3,3,0,19
10020,65,2,1,1,0,0,0,0,0,0,0,0,1,1,3,3,3,1,3,3,2,3,3,3,21
10024,60,1,1,0,0,0,0,1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,1,9
10030,66,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
10036,64,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,3,4,4,4,0,16
10037,51,1,1,0,0,1,2,0,0,0,2,0,0,5,2,2,2,2,4,2,1,3,3,4,24
10038,66,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,2,3,3,0,20
10040,58,1,1,2,0,3,3,2,0,2,1,0,0,2,3,2,2,2,4,4,2,4,4,7,18
10046,53,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,4,4,3,4,4,0,15
10047,54,2,5,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,3,4,4,0,10
10060,67,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,2,4,4,0,11
10061,90,1,1,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,4,4,4,3,4,4,0,10.5
10062,78,2,4,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,0,10
10063,57,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,4,3,4,4,4,4,NA,11
10067,71,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,4,4,0,16
10087,54,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,4,4,3,4,4,0,11
10088,88,1,1,0,0,1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,1,9
10093,66,2,1,0,0,1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,1,9
10094,49,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
10097,76,1,1,0,0,0,0,0,0,0,0,2,0,0,4,4,4,4,4,4,4,4,4,1,9
10098,70,2,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,4,4,1,4,4,1,18
10099,42,1,1,0,0,4,3,0,0,0,0,0,0,0,2,2,3,3,1,3,3,1,1,2,26
10100,57,1,5,0,0,0,2,0,0,0,0,0,0,0,2,2,3,2,4,4,2,3,3,1,20
10103,77,2,4,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,4,3,4,4,0,14
10105,63,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
10106,66,2,5,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
10107,68,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,4,0,12
10108,53,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,4,4,3,4,4,0,11
10110,50,1,1,0,0,0,0,0,0,0,0,0,0,0,4,3,3,2,4,3,3,4,4,0,15
10114,66,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
10118,63,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
10119,58,2,1,0,1,1,1,0,0,0,0,0,0,0,3,3,3,2,3,4,3,4,4,3,16
10129,60,2,1,0,0,0,2,0,0,0,0,0,0,0,4,3,3,3,4,4,3,4,4,1,13
10130,56,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
10131,80,1,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
10134,73,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
10137,67,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,4,4,4,4,4,NA,11
10141,64,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
10143,66,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
10144,69,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,NA,9
10145,77,2,1,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,3,3,3,4,4,4,2,3,4,2,15
10146,59,2,1,0,0,1,2,0,0,0,0,2,0,2,3,3,3,2,4,3,2,3,3,4,19
10148,81,2,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
10154,72,2,1,0,0,0,1,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,4,1,11
10155,55,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10157,55,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,3,4,4,3,4,0,12
10158,70,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
10159,84,1,4,0,0,0,0,0,0,0,1,1,1,1,4,4,3,4,4,4,3,4,4,4,11
10168,84,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,4,4,3,4,4,0,13
10170,50,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
10171,59,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10172,76,2,4,0,0,3,0,1,0,0,0,0,0,0,2,3,2,4,4,4,3,3,4,2,16
10173,67,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
10175,66,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,3,4,4,4,4,4,0,11
10176,64,1,1,0,0,0,0,1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,1,9
10189,81,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
10196,70,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
10197,73,2,5,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,3,4,4,4,4,0,11
10198,87,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
10201,74,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10202,74,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,3,4,0,12
10211,74,2,1,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,4,4,3,4,4,0,12
10212,80,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10215,53,2,1,0,2,0,0,0,0,0,0,0,0,2,3,3,3,3,4,4,4,4,4,2,13
10218,79,1,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
10222,60,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10223,63,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
10225,64,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10229,59,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10231,80,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3,4,3,4,4,0,11
10233,62,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
10234,72,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
10239,65,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,3,3,3,3,0,20
10241,52,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10242,56,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
